39,1,2013-09-01 13:18:00,2013-09-01,13:18:00,13,201339061340,LINCOLN DRIVE TRL,600,11699,Theft from Vehicle,11699,,
39,1,2013-09-01 13:27:00,2013-09-01,13:27:00,13,201339061335,W RITTENHOUSE ST  / LINCOLN DR,600,9120,Theft from Vehicle,9120,-75.18890267,40.02934416
35,1,2013-09-01 13:31:00,2013-09-01,13:31:00,13,201335066591,6800 BLOCK N 7TH ST,600,5557,Theft from Vehicle,5557,-75.12985245,40.05565845
02,1,2013-09-01 13:35:00,2013-09-01,13:35:00,13,201302057268,1100 BLOCK ELBRIDGE ST,600,8247,Theft from Vehicle,8247,-75.08169904,40.04243569
03,1,2013-09-01 14:02:00,2013-09-01,14:02:00,14,201303054330,500 BLOCK RANDOLPH CT,600,8245,Theft from Vehicle,8245,-75.15140629,39.94291081
09,1,2013-09-01 14:33:00,2013-09-01,14:33:00,14,201309035256,1600 BLOCK WALNUT ST,600,17902,Thefts,17902,-75.16764499,39.94981724
06,1,2013-09-01 15:00:00,2013-09-01,15:00:00,15,201306045982,500 BLOCK POPLAR ST,600,8301,Theft from Vehicle,8301,-75.14710053,39.96704353
35,1,2013-09-01 15:33:00,2013-09-01,15:33:00,15,201335066615,100 BLOCK ROSELYN ST,700,11853,Recovered Stolen Motor Vehicle,11853,-75.1214809,40.04206863
17,1,2013-09-01 15:58:00,2013-09-01,15:58:00,15,201317039240,700 BLOCK S SMEDLEY ST,600,5558,Theft from Vehicle,5558,-75.1698406,39.9431125
03,1,2013-09-01 16:04:00,2013-09-01,16:04:00,16,201303054360,300 BLOCK SOUTH ST,600,29992,Thefts,29992,-75.14829051,39.94145573
18,1,2013-09-01 16:45:00,2013-09-01,16:45:00,16,201318051542,COBBS CREEK PKWY/CHRISTIAN ST,700,129464,Recovered Stolen Motor Vehicle,129464,,
24,1,2013-09-01 16:50:00,2013-09-01,16:50:00,16,201324077766,1500 BLOCK E ERIE AVE,600,4656,Thefts,4656,-75.09898628,40.00571024
24,1,2013-09-01 17:14:00,2013-09-01,17:14:00,17,201324077777,3800 BLOCK M ST,600,4761,Thefts,4761,-75.10112458,40.00575756
09,1,2013-09-01 17:31:00,2013-09-01,17:31:00,17,201309035289,1500 BLOCK SPRUCE ST,600,4657,Thefts,4657,-75.16648511,39.94714491
01,1,2013-09-01 17:38:00,2013-09-01,17:38:00,17,201301034439,2400 BLOCK S 23RD ST,600,6721,Thefts,6721,-75.18523627,39.92210965
07,1,2013-09-01 17:58:00,2013-09-01,17:58:00,17,201307027621,8500 BLOCK VERREE RD,600,26408,Theft from Vehicle,26408,-75.0698693,40.07887554
26,1,2013-09-01 17:58:00,2013-09-01,17:58:00,17,201326044074,200 BLOCK W LEHIGH AVE,400,9955,Aggravated Assault No Firearm,9955,-75.13661791,39.99157358
07,1,2013-09-01 18:02:00,2013-09-01,18:02:00,18,201307027617,VERREE RD  / STRAHLE ST,600,3674,Thefts,3674,-75.07100865,40.07768329
24,1,2013-09-01 18:12:00,2013-09-01,18:12:00,18,201324077783,3900 BLOCK J ST,600,4141,Thefts,4141,-75.10690327,40.00724363
17,1,2013-09-01 18:41:00,2013-09-01,18:41:00,18,201317039248,2300 BLOCK CATHARINE ST,600,5281,Thefts,5281,-75.18149725,39.94265553
22,1,2013-09-01 18:48:00,2013-09-01,18:48:00,18,201322071638,2600 BLOCK N 13TH ST,400,34805,Aggravated Assault Firearm,34805,-75.15244744,39.9930363
15,1,2013-09-01 19:13:00,2013-09-01,19:13:00,19,201315083627,4600 BLOCK BATH ST,700,9772,Recovered Stolen Motor Vehicle,9772,-75.06777316,39.9979862
15,1,2013-09-01 19:17:00,2013-09-01,19:17:00,19,201315083630,4900 BLOCK FRANKFORD AVE,700,9771,Recovered Stolen Motor Vehicle,9771,-75.08154128,40.01918752
24,1,2013-09-01 19:21:00,2013-09-01,19:21:00,19,201324077812,3900 BLOCK CASTOR AVE,600,6819,Thefts,6819,-75.09911096,40.00581511
35,1,2013-09-01 19:33:00,2013-09-01,19:33:00,19,201335066661,600 BLOCK W SPENCER AVE,300,54597,Robbery Firearm,54597,-75.13083029,40.04429545
15,1,2013-09-01 19:50:00,2013-09-01,19:50:00,19,201315083636,1600 BLOCK WAKELING ST,400,2428,Aggravated Assault No Firearm,2428,-75.07978061,40.02002928
24,1,2013-09-01 20:37:00,2013-09-01,20:37:00,20,201324077826,JASPER ST  / E THAYER ST,700,11854,Recovered Stolen Motor Vehicle,11854,-75.11739042,39.99253485
17,1,2013-09-01 21:05:00,2013-09-01,21:05:00,21,201317039274,1100 BLOCK S 27TH ST,600,4867,Thefts,4867,-75.18832155,39.93983277
12,1,2013-09-01 21:11:00,2013-09-01,21:11:00,21,201312061835,2900 BLOCK S 70TH STREET,300,2543,Robbery No Firearm,2543,-75.23160936,39.91697603
12,1,2013-09-01 21:17:00,2013-09-01,21:17:00,21,201312061833,2500 BLOCK S 69TH ST,400,31056,Aggravated Assault Firearm,31056,-75.23508619,39.91743768
02,1,2013-09-01 21:35:00,2013-09-01,21:35:00,21,201302057326,6900 BLOCK OAKLAND ST,500,49504,Burglary Residential,49504,-75.06630515,40.04317546
14,1,2013-09-01 22:36:00,2013-09-01,22:36:00,22,201314065411,6900 BLOCK N 19TH ST,500,33608,Burglary Residential,33608,-75.14780502,40.06196239
02,1,2013-09-01 22:37:00,2013-09-01,22:37:00,22,201302057339,6100 BLOCK LORETTO AVE,400,33027,Aggravated Assault Firearm,33027,-75.08209302,40.03682991
19,1,2013-09-01 22:49:00,2013-09-01,22:49:00,22,201319075527,1700 BLOCK N 60TH ST,400,33026,Aggravated Assault Firearm,33026,-75.24047886,39.97760263
35,1,2013-09-01 23:35:00,2013-09-01,23:35:00,23,201335066726,6300 BLOCK LAWNTON AVE,400,26776,Aggravated Assault Firearm,26776,-75.13675699,40.0480095
03,1,2013-09-01 23:50:00,2013-09-01,23:50:00,23,201303054449,600 BLOCK S 13TH ST,600,14156,Theft from Vehicle,14156,-75.16342869,39.94337653
14,1,2013-09-02 00:16:00,2013-09-02,00:16:00,0,201314065437,7200 BLOCK N 21ST ST,500,5132,Burglary Residential,5132,-75.1521511,40.06510629
25,1,2013-09-02 00:36:00,2013-09-02,00:36:00,0,201325074236,900 BLOCK W HUNTING PARK AVE,400,620757,Aggravated Assault No Firearm,620757,-75.13817236,40.0107867
09,1,2013-09-02 00:46:00,2013-09-02,00:46:00,0,201309035343,100 BLOCK S 23RD ST,600,8249,Theft from Vehicle,8249,-75.17839883,39.95185908
24,1,2013-09-02 00:50:00,2013-09-02,00:50:00,0,201324077891,3500 BLOCK K ST,500,38579,Burglary Residential,38579,-75.10643731,40.00072374
03,1,2013-09-02 01:17:00,2013-09-02,01:17:00,1,201303054469,900 BLOCK S FRONT ST,300,2541,Robbery No Firearm,2541,-75.14533721,39.93554464
25,1,2013-09-02 01:19:00,2013-09-02,01:19:00,1,201325074244,3900 BLOCK N MARSHALL ST,300,32133,Robbery Firearm,32133,-75.13897716,40.01120865
14,1,2013-09-02 01:50:00,2013-09-02,01:50:00,1,201314065461,1800 BLOCK E HAINES ST,400,17232,Aggravated Assault No Firearm,17232,-75.14921983,40.05843386
35,1,2013-09-02 02:36:00,2013-09-02,02:36:00,2,201335066768,100 BLOCK ROSELYN ST,600,505575,Thefts,505575,-75.1214809,40.04206863
14,1,2013-09-02 02:45:00,2013-09-02,02:45:00,2,201314065462,1800 BLOCK E HAINES ST,400,53867,Aggravated Assault No Firearm,53867,-75.14921983,40.05843386
18,1,2013-09-02 03:18:00,2013-09-02,03:18:00,3,201318051624,5900 BLOCK CHESTNUT ST,300,20788,Robbery Firearm,20788,-75.23913282,39.96014728
24,1,2013-09-02 04:23:00,2013-09-02,04:23:00,4,201324077937,900 BLOCK E ONTARIO ST,300,25109,Robbery No Firearm,25109,-75.11259416,39.99949416
35,1,2013-09-02 04:42:00,2013-09-02,04:42:00,4,201335066778,N BROAD ST  / W GODFREY AV,300,20791,Robbery Firearm,20791,-75.14289823,40.04749494
07,1,2013-09-02 05:00:00,2013-09-02,05:00:00,5,201307027674,600 BLOCK SOLLY AVE,500,24913,Burglary Residential,24913,-75.07846242,40.07795746
35,1,2013-09-02 05:33:00,2013-09-02,05:33:00,5,201335066780,6000 BLOCK MASCHER ST,700,21017,Recovered Stolen Motor Vehicle,21017,-75.12214659,40.04169019
25,1,2013-09-02 06:51:00,2013-09-02,06:51:00,6,201325074277,4600 BLOCK N 6TH ST,300,44241,Robbery Firearm,44241,-75.13627227,40.02176615
25,1,2013-09-02 07:18:00,2013-09-02,07:18:00,7,Confidential,4200 BLOCK N PARK AV,200,20078,Rape,20078,-75.14845607,40.0168478
24,1,2013-09-02 08:07:00,2013-09-02,08:07:00,8,201324077964,3800 BLOCK PALMETTO ST,600,7840,Theft from Vehicle,7840,-75.10843945,40.00594666
39,1,2013-09-02 08:19:00,2013-09-02,08:19:00,8,201339061506,5100 BLOCK GREENE ST,500,34029,Burglary Residential,34029,-75.16804429,40.02910648
18,1,2013-09-02 08:20:00,2013-09-02,08:20:00,8,201318051631,6000 BLOCK WHARTON ST,600,10244,Theft from Vehicle,10244,-75.24436282,39.94479817
09,1,2013-09-02 08:29:00,2013-09-02,08:29:00,8,201309035374,2400 BLOCK CHESTNUT ST,700,21026,Recovered Stolen Motor Vehicle,21026,-75.17879241,39.95265664
12,1,2013-09-02 08:30:00,2013-09-02,08:30:00,8,201312061939,8100 BLOCK LYONS AV,400,32103,Aggravated Assault Firearm,32103,-75.24565843,39.89943472
